Year,Position,Artist,Song
1997,12,Ben Folds Five,One Angry Dwarf And 200 Solemn Faces
1997,13,Silverchair,Freak
1997,14,The Superjesus,Down Again
1997,15,The Living End,Prisoner Of Society
1997,16,Quindon Tarver/Lee Perry,Everybody's Free (To Wear Sunscreen)
1997,17,Cordrazine,Crazy
1997,18,Nick Cave & The Bad Seeds,Into My Arms
1997,19,Regurgitator,Every Day Formula
1997,20,Cake,I Will Survive
1997,21,Foo Fighters,Monkey Wrench
1997,22,The Verve,The Drugs Don't Work
1997,23,Spiderbait,Calypso
1997,24,Korn,A.D.I.D.A.S.
1997,25,Green Day,Hitchin' a Ride
1997,26,Nine Inch Nails,The Perfect Drug
1997,27,Silverchair,The Door
1997,28,Dana Lyons,Cows With Guns
1997,29,Third Eye Blind,Semi-Charmed Life
1997,30,Tool,Forty-Six & 2
1997,31,Faith No More,Ashes To Ashes
1997,32,Pendulum {Melbourne},Coma
1997,33,Jebediah,Military Strongmen
1997,34,Grinspoon,Dcx3
1997,35,The Sundays,Summertime
1997,36,Ween,Mutilated Lips
1997,37,The Mavis's,Naughty Boy
1997,38,Metallica,The Memory Remains
1997,39,Something for Kate,Captain (Million Miles)
1997,40,The Bloodhound Gang,Why's Everybody Always Pickin' On Me?
1997,41,Beck,Deadweight
1997,42,Cornershop,Brimful of Asha
1997,43,Ammonia,You're Not The Only One
1997,44,The Tea Party,Temptation
1997,45,The Cure,Wrong Number
1997,46,The Bloodhound Gang,Fire Water Burn
1997,47,Filter And The Crystal Method,(Can't You) Trip Like I Do
1997,48,Custard,Anatomically Correct
1997,49,The Living End,From Here On In
1997,50,Arkarna,Eat Me
1997,51,Everclear,So Much For The Afterglow
1997,52,Garbage,#1 Crush
1997,53,The Whitlams,You Sound Like Louis Burdett
1997,54,Everclear,Everything To Everyone
1997,55,Red Hot Chili Peppers,Love Rollercoaster
1997,56,The Prodigy,Funky Shit
1997,57,My Drug Hell,Girl At The Bus Stop
1997,58,Diana Ah Naid,I Go Off
1997,59,White Town,Your Woman
1997,60,They Might Be Giants,New York City
1997,61,Chemical Brothers,Block Rockin' Beats
1997,62,The Smashing Pumpkins,The End Is the Beginning Is the End
1997,63,Grinspoon,Repeat
1997,64,Faith No More,Stripsearch
1997,65,The Lemonheads,Outdoor Type
1997,66,Powderfinger,JC
1997,67,The Offspring,I Choose
1997,68,Jamiroquai,Cosmic Girl
1997,69,Ween,Waving My Dick In The Wind
1997,70,Reef,Place Your Hands
1997,71,Robyn Loau,Sick With Love
1997,72,Front End Loader,Pulse
1997,73,Live,Lakini's Juice
1997,74,Rage Against the Machine,The Ghost of Tom Joad
1997,75,Space,Female of the Species
1997,76,Imani Coppola,Legend Of A Cowgirl
1997,77,The Cardigans,Lovefool
1997,78,The Mark of Cain,Degenerate Boy
1997,79,Portishead,All Mine
